NPI,Ind_PAC_ID,Provider Last Name,Provider First Name,Provider Middle Name,suff,Procedure_Category,Count,Percentile,Profile_Display_Indicator
1003019019,9638247414,DUDNEY,BLONIE,W,JR.,Cataract surgery,17,37.0,Y
1003078726,2062537665,GOULET,ROBERT,J,III,Cataract surgery,377,77.0,Y
1003293697,42562373,FREEMAN,WILBUR,K,III,Pacemaker insertion or repair,17,68.0,Y
1003806043,6002846995,HARLAN,WILLIAM,ROBERT,III,Colonoscopy,215,77.0,Y
1003807744,8628047487,BRACY,WALDO,PARDEN,JR.,Colonoscopy,419,95.0,Y
1003813940,2264425461,TAYLOR,JOHN,A,III,Prostate resection,12,38.0,Y
1003817420,7012033590,MARTUCCIO,JAMES,V,JR.,Cataract surgery,302,72.0,Y
1003841479,5193868057,CALDERONE,JOSEPH,P,JR.,Cataract surgery,176,61.0,Y
1003843830,5294850053,GARRISON,JAMES,RICHARD,JR.,Coronary artery bypass graft (CABG),68,86.0,Y
1003844499,5193859429,KLIEFOTH,WILLIAM,L,JR.,Hernia repair (minimally invasive),18,78.0,Y
1003844523,2769372630,STOVALL,DON,OWEN,JR.,Spinal fusion,31,66.0,Y
1003850736,3173520384,OWEN,ROBERT,D,JR.,Spinal fusion,73,89.0,Y
1003853748,2365479664,MCKENZIE,JOHN,D,JR.,Hernia repair – groin (open),29,96.0,Y
1003853748,2365479664,MCKENZIE,JOHN,D,JR.,Hernia repair (minimally invasive),20,80.0,Y
1003866542,7214916055,LEE,ROBERT,EDWARD,III,Cataract surgery,374,77.0,Y
1003866781,446254254,OLENCHOCK,STEPHEN,A,JR.,Coronary artery bypass graft (CABG),24,43.0,Y
1003868977,3072696020,ATKINS,LEROY,S,JR.,Hip replacement,53,78.0,Y
1003868977,3072696020,ATKINS,LEROY,S,JR.,Knee replacement,162,94.0,Y
1003874371,3971518283,MANGIN,EARL,L,JR.,Coronary angioplasty and stenting,23,40.0,Y
1003874371,3971518283,MANGIN,EARL,L,JR.,Pacemaker insertion or repair,20,70.0,Y
1003878075,4183625882,SWEARINGEN,JAMES,P,JR.,Cataract surgery,19,38.0,Y
1003878877,3173609336,FAUNCE,WESLEY,H,III,Spinal fusion,109,96.0,Y
1003880238,5193759983,PALLATRONI,HENRY,F,III,Spinal fusion,32,67.0,Y
1003881277,3173537727,LAKE,THOMAS,R,III,Colonoscopy,140,62.0,Y
1003895590,9739116765,LOFTUS,EDWARD,VINCENT,JR.,Colonoscopy,74,46.0,Y
1003904681,4587835970,GREANEY,PATRICK,J,JR.,Mastectomy,20,71.0,Y
1003908500,6709930092,SHOVLIN,PATRICK,W,III,Hernia repair (minimally invasive),18,78.0,Y
1003922691,547348906,FURLONG,MICHAEL,T,JR.,Cataract surgery,209,64.0,Y
1003994286,4082740725,STOUFFER,GEORGE,ANDREW,III,Coronary angioplasty and stenting,139,97.0,Y
1013041532,3971677485,GRIERSON,RANDOLPH,J,III,Hip replacement,26,61.0,Y
1013041532,3971677485,GRIERSON,RANDOLPH,J,III,Knee replacement,56,66.0,Y
1013053859,8628039872,DIEGUEZ,FRANCISCO,J,JR.,Coronary angioplasty and stenting,26,44.0,Y
1013090174,244227320,MORRISON,JOHN,E,JR.,Hernia repair – groin (open),11,79.0,Y
1013165083,3779753397,SUNNY,JOSEPH,KADATHALAKUNNEL,JR.,Colonoscopy,23,29.0,Y
1013168004,1456594910,GILL,WALTUS,HUGHES,III,Spinal fusion,25,61.0,Y
1013900216,8921132523,CRAM,GARY,PAUL,JR.,Spinal fusion,84,92.0,Y
1013903723,3173657392,DUCKWORTH,PAUL,FREDERICK,JR.,Colonoscopy,357,92.0,Y
1013919422,941301915,CHASTAIN,HOLLACE,D,II,Coronary angioplasty and stenting,40,61.0,Y
1013921709,840194627,KNAPP,PETER,M,JR.,Prostate resection,22,61.0,Y
1013932466,1052382413,ROYE,WATSON,PAYNE,JR.,Colonoscopy,137,62.0,Y
1013932466,1052382413,ROYE,WATSON,PAYNE,JR.,Hernia repair (minimally invasive),11,62.0,Y
1013939727,9335032242,SEFTER,JOHN,C,JR.,Spinal fusion,19,55.0,Y
1013941848,6002907805,RODRIGUEZ,SERGIO,M,JR.,Colonoscopy,175,70.0,Y
1013945930,4880613835,HODGES,JOHN,R,JR.,Colonoscopy,372,93.0,Y
1013949619,345375960,PALO,MATTI,W,JR.,Knee replacement,43,58.0,Y
1013951185,4880634914,ADDERHOLT,JERRY,G,JR.,Spinal fusion,29,65.0,Y
1013951805,5799677621,STEEDMAN,JOHN,T,JR.,Hip replacement,36,69.0,Y
1013951805,5799677621,STEEDMAN,JOHN,T,JR.,Knee replacement,70,73.0,Y
1013974260,143229807,BURCHAM,JAMES,RUSSELL,III,Cataract surgery,126,56.0,Y
1013975192,4880729292,HUETHER,WILLIAM,L,III,Hernia repair – groin (open),41,98.0,Y
1013975192,4880729292,HUETHER,WILLIAM,L,III,Hernia repair (minimally invasive),28,89.0,Y
1013975911,6800890989,FERRER,JOSE,P,JR.,Colonoscopy,162,67.0,Y
1013981968,2264452531,KILLORIN,EDWARD,W,JR.,Prostate resection,90,98.0,Y
1013983907,6305892027,DRISCOLL,DONALD,A,JR.,Knee replacement,13,32.0,Y
1013991520,2365347903,LENNERTZ,RICHARD,C,JR.,Spinal fusion,42,74.0,Y
1023004520,547246423,CALLAHAN,THOMAS,DANIEL,IV,Pacemaker insertion or repair,35,78.0,Y
1023009297,6002882719,GOTHAM,DAVID,R,JR.,Hip replacement,11,42.0,Y
1023009297,6002882719,GOTHAM,DAVID,R,JR.,Knee replacement,17,36.0,Y
1023011269,6608868427,DECENA,BENIGNO,F,III,Pacemaker insertion or repair,142,98.0,Y
1023012861,2163412552,COLE,CHARLES,LOUIS,JR.,Knee replacement,236,98.0,Y
1023052610,9436151461,LYLE,JAMES,E,IV,Hip replacement,18,52.0,Y
1023052610,9436151461,LYLE,JAMES,E,IV,Knee replacement,13,32.0,Y
1023057049,3072564186,GERRARD,EDWARD,R,JR.,Prostate resection,30,74.0,Y
1023060696,8921090333,MITTICA,NICHOLAS,M,JR.,Cataract surgery,244,67.0,Y
1023069812,5496834558,LATIMER,EARL,AUGUST,III,Knee replacement,36,53.0,Y
1023072139,7214068022,CROW,ROBERT,JOSEPH,JR.,Spinal fusion,35,69.0,Y
1023085719,749474062,SMITH,JOHN,F,JR.,Colonoscopy,81,48.0,Y
1023123643,5890792683,HAMMOND,STEPHEN,D,JR.,Cataract surgery,1367,98.0,Y
1023160686,1557523990,RIDILLA,JOSEPH,JOHN,II,Hernia repair (minimally invasive),24,85.0,Y
1023247921,6002040912,HANZLY,MICHAEL,I,JR.,Prostate resection,45,88.0,Y
1023251287,5496054165,ALLEN,ROBERT,J,JR.,Mastectomy,20,71.0,Y
1023254190,5193949675,DAVIS,DON,KENT,JR.,Cataract surgery,94,52.0,Y
1023270733,9830351691,ROBERTS,JOHN,MOSE,JR.,Cataract surgery,479,83.0,Y
1023284148,3173793064,FREED,GARY,L,JR.,Mastectomy,14,62.0,Y
1023285582,9830482991,JACKSON,LARRY,RONALD,II,Pacemaker insertion or repair,11,63.0,Y
1023295292,8123277407,GRIJALVA,RAMON,A,JR.,Hip replacement,69,84.0,Y
1023295292,8123277407,GRIJALVA,RAMON,A,JR.,Knee replacement,101,84.0,Y
1023305687,143441550,BOLER,MICHAEL,TED,JR.,Coronary angioplasty and stenting,70,83.0,Y
1023350816,9436455565,RHODES,JOHN,B,JR.,Colonoscopy,197,74.0,Y
1023351194,1456583814,MCALPINE,KENNETH,JOHN,JR.,Hip replacement,74,86.0,Y
1023351194,1456583814,MCALPINE,KENNETH,JOHN,JR.,Knee replacement,123,88.0,Y
1023436391,244592731,LING,JOHN,F,III,Cataract surgery,341,75.0,Y
1033119490,7810978236,LANGERMAN,RICHARD,JAMES,JR.,Knee replacement,68,72.0,Y
1033152525,8729083969,EVANS,JOHN,W,JR.,Colonoscopy,100,53.0,Y
1033167465,547263196,WADE,MERLE,L,JR.,Prostate resection,11,35.0,Y
1033170303,7618874801,PATTY,BERNARD,E,III,Cataract surgery,19,38.0,Y
1033196050,9638154305,TAUNTON,OSCAR,D,JR.,Hip replacement,101,92.0,Y
1033196050,9638154305,TAUNTON,OSCAR,D,JR.,Knee replacement,225,97.0,Y
1033206065,7214913748,CLARK,CHARLES,HOBART,III,Spinal fusion,48,78.0,Y
1033214259,7911953401,LITTLE,WILDER,G,JR.,Prostate resection,38,83.0,Y
1033229216,3274503271,PAYNE,MELVIN,P,III,Hernia repair – groin (open),20,92.0,Y
1033257746,9436241890,KWONG,HENRY,M,JR.,Cataract surgery,29,41.0,Y
1033262951,840478038,KELLY,ROBERT,JOSEPH,JR.,Hernia repair (minimally invasive),27,88.0,Y
1033269147,3779481197,CROVETTI,MICHAEL,J,JR.,Knee replacement,12,31.0,Y
1033274279,9830163567,WOODCOCK,LESLIE,D,JR.,Cataract surgery,1533,98.0,Y
1033320452,8426200650,PETITTO,FRANCIS,J,III,Hernia repair (minimally invasive),15,72.0,Y
1033325709,3678628039,SCHURSKY,MELVIN,DENNIS,JR.,Hernia repair (minimally invasive),19,79.0,Y
1033325709,3678628039,SCHURSKY,MELVIN,DENNIS,JR.,Mastectomy,11,56.0,Y
1033344296,2567788532,ALEXANDER,THOMAS,CARY,JR.,Knee replacement,25,44.0,Y
1033438825,2466695879,HUGHEY,JAMES,T,III,Knee replacement,76,76.0,Y
1033538749,4082835350,GRUBBS,JOSEPH,R,JR.,Cataract surgery,542,85.0,Y
1043214323,4880583095,WARR,OTIS,SUMTER,IV,Coronary angioplasty and stenting,34,55.0,Y
1043214323,4880583095,WARR,OTIS,SUMTER,IV,Pacemaker insertion or repair,12,64.0,Y
1043236318,749384683,YAVORSKI,ROBERT,T,JR.,Colonoscopy,13,23.0,Y
